ID;N_VICTIMAS;AÑO;MES;HORA;LUGAR_DEL_HECHO;TIPO_DE_ENCUENTRO;COMUNA;X;Y;VICTIMA;ACUSADO;BARRIO
2016-0001;1;2016;1;4;AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ;CRUCE;8;-58.47533969;-34.68757022;MOTO;AUTO;VILLA RIACHUELO
2016-0002;1;2016;1;1;AV GRAL PAZ  Y AV DE LOS CORRALES;CRUCE;9;-58.50877521;-34.66977709;AUTO;PASAJEROS;NO DATA
2016-0003;1;2016;1;7;AV ENTRE RIOS 2034;ENTRE CALLE;1;-58.39040293;-34.63189362;MOTO;AUTO;CONSTITUCION
2016-0004;1;2016;1;0;AV LARRAZABAL Y GRAL VILLEGAS CONRADO;CRUCE;8;-58.46503904;-34.68092974;MOTO;NO DATA;VILLA LUGANO
2016-0005;1;2016;1;5;AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ;CRUCE;1;-58.38718297;-34.6224663;MOTO;PASAJEROS;CONSTITUCION
2016-0008;1;2016;1;18;AV 27 DE FEBRERO Y AV ESCALADA;CRUCE;8;-58.44451316;-34.68475866;MOTO;OBJETO FIJO;VILLA SOLDATI
2016-0009;1;2016;1;19;NOGOYA Y JOAQUIN V. GONZALES;CRUCE;11;-58.50095869;-34.6082544;MOTO;AUTO;VILLA DEL PARQUE
2016-0010;1;2016;1;15;AV GENERAL PAZ Y AV DE LOS CORRALES;CRUCE;9;-58.50877521;-34.66977709;MOTO;AUTO;NO DATA
2016-0012;1;2016;2;1;AV BELGRANO Y BERNARDO DE IRIGOYEN;CRUCE;1;-58.38048577;-34.61303893;MOTO;CARGAS;MONSERRAT
2016-0013;1;2016;2;11;AV ENTRE RIOS 1366;ENTRE CALLE;1;-58.39114932;-34.62477387;PEATON;AUTO;CONSTITUCION
2016-0015;1;2016;2;5;AV SCALABRINI ORTIZ Y VERA;CRUCE;15;-58.4376002;-34.59912758;PEATON;AUTO;VILLA CRESPO
2016-0016;1;2016;2;22;AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO;CRUCE;4;-58.36882665;-34.64291993;MOTO;AUTO;BARRACAS
2016-0017;1;2016;2;16;MARIANO ACOSTA Y ANA MARIA JANER;CRUCE;8;-58.44989671;-34.65970435;PEATON;MOTO;VILLA SOLDATI
2016-0019;1;2016;2;9;LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ;CRUCE;9;-58.50990884;-34.65468721;PEATON;PASAJEROS;MATADEROS
2016-0020;1;2016;2;16;SUIPACHA 156;ENTRE CALLE;1;-58.37952223;-34.60653282;PEATON;AUTO;SAN NICOLAS
2016-0021;1;2016;2;23;AV DIRECTORIO Y CURAPALIGUE;CRUCE;7;-58.45157703;-34.63063795;AUTO;AUTO;FLORES
2016-0022;1;2016;2;6;AV 9 DE JULIO Y ADOLFO ALSINA;CRUCE;1;-58.38144696;-34.61079875;MOTO;AUTO;MONSERRAT
2016-0025;1;2016;2;4;AV GRAL PAZ Y AV 27 DE FEBRERO;CRUCE;8;-58.46244952;-34.70524971;AUTO;AUTO;NO DATA
2016-0026;1;2016;2;7;HOLMBERG Y VEDIA;CRUCE;12;-58.49216191;-34.54738649;AUTO;OBJETO FIJO;SAAVEDRA
2016-0027;1;2016;2;9;CURAPALIGUE Y AVELINO DIAZ;CRUCE;7;-58.44497874;-34.63852623;AUTO;AUTO;PARQUE CHACABUCO
2016-0028;1;2016;3;10;VIAMONTE Y AV 9 DE JULIO;CRUCE;1;-58.38199706;-34.60028648;PEATON;CARGAS;SAN NICOLAS
2016-0029;1;2016;3;17;AV CABILDO Y DEHEZA;CRUCE;12;-58.47378664;-34.54153077;PEATON;PASAJEROS;SAAVEDRA
2016-0031;1;2016;3;12;AV GRAL PAZ Y AV CNEL ROCA;CRUCE;8;-58.47064556;-34.69843756;MOTO;PASAJEROS;VILLA RIACHUELO
2016-0034;1;2016;3;12;AV AMANCIO ALCORTA Y BONAVENA;CRUCE;4;-58.40623949;-34.65076549;PEATON;PASAJEROS;NUEVA POMPEYA
2016-0035;1;2016;3;6;AV CORRIENTES Y AV CALLAO;CRUCE;3;-58.39228965;-34.60443527;MOTO;PASAJEROS;BALVANERA
2016-0036;1;2016;3;0;HERRERA Y ARISTOBULO DEL VALLE;CRUCE;4;-58.37813396;-34.63668504;MOTO;PASAJEROS;BARRACAS
2016-0037;1;2016;3;11;AV. EVA PERON Y QUIRNO;CRUCE;7;-58.46275892;-34.64358293;MOTO;MOTO;FLORES
